index	frequency	frequency_err	period	period_err	Teff	Teff_err	logg	logg_err	logL	logL_err
f1	1.15035	1.20E-04	0.8693	8E-05	11650	210	3.97	0.08	2.19	0.06
f2	1.1093	4E-05	0.90147	4E-05						
f3	1.07485	4E-05	0.93036	4E-05						
f4	1.04521	4E-05	0.95674	4E-05						
f5	1.01865	2.40E-05	0.981691	2.40E-05						
f6	0.992189	8E-06	1.007872	8E-06						
f7	0.967849	1.60E-05	1.033219	1.60E-05						
f8	0.94858	4E-05	1.05421	4E-05						
f9	0.931824	1.60E-05	1.073164	2E-05						
f10	0.913381	1.20E-05	1.094833	1.60E-05						
f11	0.894849	4E-06	1.117507	4E-06						
f12	0.877208	2.40E-05	1.13998	3.20E-05						
f13	0.862873	4E-06	1.158919	4E-06						
f14	0.850603	2E-05	1.175637	2.80E-05						
f15	0.838528	4E-06	1.192566	4E-06						
f16	0.826317	2E-05	1.210189	2.80E-05						
f17	0.814319	8E-06	1.22802	1.20E-05						
f18	0.802928	3.60E-05	1.24544	4E-05						
f19	0.794259	1.60E-05	1.259035	2.40E-05						
f20	0.78394	4E-05	1.27561	8E-05						
f21	0.77553	8E-05	1.28944	0.00012						
f22	0.76716	8E-05	1.30351	0.00012						
f23	0.75993	4E-05	1.31591	8E-05						
f24	0.753179	3.20E-05	1.32771	4E-05						
f25	0.745763	1.60E-05	1.340909	2.80E-05						
f26	0.73831	4E-05	1.35445	0.00012						
f27	0.73129	8E-05	1.36744	0.00012						
f28	0.72496	8E-05	1.37939	0.00012						
f29	0.71937	4E-05	1.39011	8E-05						
f30	0.71379	4E-05	1.40098	8E-05						
f31	0.709133	3.60E-05	1.41017	8E-05						
f32	0.70342	8E-05	1.42162	0.00012						
f33	0.69765	8E-05	1.43338	0.00016						
f34	0.69287	8E-05	1.44328	0.0002						
f35	0.68842	8E-05	1.45261	0.00016						
f36	0.68472	8E-05	1.46046	0.00016						
